category,revenue,orders,avg_review,late_rate,avg_delivery_days,revenue_rank_pct,review_rank_pct,late_rank_pct,category_type,risk_score,decision_score
computers,222963.13,181,4.192090395480226,0.0555555555555555,13.5,0.7419354838709677,0.7258064516129032,0.4032258064516129,Standard category,0.5233870967741936,0.4935483870967742
small_appliances,190648.58,630,4.18578352180937,0.0464,10.562913907284768,0.6935483870967742,0.6612903225806451,0.2419354838709677,Standard category,0.4693548387096774,0.485483870967742
construction_tools_lights,41080.0,244,4.156779661016949,0.0669456066945606,9.354430379746836,0.4032258064516129,0.5645161290322581,0.6612903225806451,Standard category,0.4887096774193548,0.4774193548387096
christmas_supplies,8800.82,128,4.055555555555555,0.078125,14.936,0.1451612903225806,0.3225806451612903,0.8870967741935484,Logistics-friction category,0.5008064516129032,0.4717741935483871
pet_shop,214315.41,1710,4.247044917257683,0.0505584950029394,10.93627159023228,0.7258064516129032,0.8387096774193549,0.2580645161290322,Standard category,0.4443548387096774,0.46774193548387094
agro_industry_and_commerce,72530.47,182,4.021978021978022,0.0384615384615384,11.0,0.5483870967741935,0.2096774193548387,0.0806451612903225,Low-value quality drag,0.4685483870967741,0.46612903225806457
art,24202.64,202,4.040201005025126,0.0597014925373134,10.79896907216495,0.3064516129032258,0.2741935483870967,0.4516129032258064,Standard category,0.4548387096774193,0.4491935483870968
air_conditioning,55024.96,253,4.028112449799197,0.0395256916996047,11.414634146341465,0.4838709677419355,0.2580645161290322,0.0967741935483871,Standard category,0.432258064516129,0.4483870967741936
home_appliances,80171.53,764,4.160096364432764,0.0431937172774869,10.88888888888889,0.5645161290322581,0.5806451612903226,0.1612903225806451,Standard category,0.4072580645161291,0.4370967741935484
kitchen_dining_laundry_garden_furniture,46328.37,248,4.049792531120332,0.0452674897119341,11.521186440677964,0.4193548387096774,0.3064516129032258,0.1935483870967742,Standard category,0.4201612903225806,0.4330645161290323
industry_commerce_and_business,39669.61,235,4.2043478260869565,0.0689655172413793,10.482456140350877,0.3709677419354839,0.7580645161290323,0.6854838709677419,Standard category,0.4330645161290322,0.4189516129032258
construction_tools_safety,40544.52,167,3.87037037037037,0.0245398773006134,11.23225806451613,0.3870967741935484,0.0967741935483871,0.032258064516129,Low-value quality drag,0.4096774193548387,0.41451612903225804
food,29393.41,450,4.2727272727272725,0.0696629213483146,9.357798165137616,0.3548387096774194,0.8709677419354839,0.7096774193548387,Standard category,0.4048387096774194,0.4080645161290322
furniture_bedroom,20028.78,95,4.134408602150538,0.064516129032258,13.375,0.2419354838709677,0.5,0.6129032258064516,Standard category,0.4177419354838709,0.3911290322580645
books_technical,19096.06,260,4.400778210116732,0.0807692307692307,10.21484375,0.2258064516129032,0.967741935483871,0.935483870967742,Logistics-friction category,0.3903225806451613,0.3790322580645161
fashion_male_clothing,10797.82,112,3.702702702702703,0.0446428571428571,12.37735849056604,0.1774193548387097,0.032258064516129,0.1774193548387097,Low-value quality drag,0.375,0.3766129032258065
books_general_interest,46856.88,512,4.461538461538462,0.0626223091976516,11.105263157894736,0.4354838709677419,1.0,0.5483870967741935,Standard category,0.3604838709677419,0.3709677419354839
dvds_blu_ray,5999.39,59,4.0701754385964914,0.0689655172413793,12.527272727272727,0.0806451612903225,0.3870967741935484,0.6854838709677419,Standard category,0.3951612903225806,0.3665322580645161
luggage_accessories,140429.98,1034,4.340508806262231,0.0419103313840155,10.415430267062314,0.6129032258064516,0.935483870967742,0.1290322580645161,Standard category,0.3306451612903226,0.3612903225806452
market_place,28378.47,280,4.07089552238806,0.0407407407407407,11.943181818181818,0.3387096774193548,0.4032258064516129,0.1129032258064516,Standard category,0.3354838709677419,0.36129032258064514
drinks,22428.7,297,4.170068027210885,0.0508474576271186,9.919298245614035,0.2741935483870967,0.6129032258064516,0.2741935483870967,Standard category,0.3024193548387096,0.325
fashio_female_clothing,2803.64,39,3.730769230769231,0.0512820512820512,12.416666666666666,0.0161290322580645,0.0483870967741935,0.2903225806451613,Low-value quality drag,0.332258064516129,0.32258064516129037
small_appliances_home_oven_and_coffee,47445.71,75,4.293333333333333,0.0533333333333333,9.5,0.4516129032258064,0.8870967741935484,0.3548387096774194,Standard category,0.3379032258064516,0.31048387096774194
signaling_and_security,21509.23,140,4.131386861313868,0.0431654676258992,10.416058394160585,0.2580645161290322,0.4838709677419355,0.1451612903225806,Standard category,0.2887096774193548,0.29274193548387095
costruction_tools_garden,25715.89,194,4.221052631578948,0.0526315789473684,11.559139784946236,0.3225806451612903,0.7903225806451613,0.314516129032258,Standard category,0.2919354838709677,0.2907258064516129
fashion_shoes,23562.77,240,4.228632478632479,0.0462184873949579,15.253218884120171,0.2903225806451613,0.8064516129032258,0.2258064516129032,Standard category,0.2467741935483871,0.2612903225806452
tablets_printing_image,7528.41,79,4.162162162162162,0.0526315789473684,12.671052631578949,0.1290322580645161,0.5967741935483871,0.314516129032258,Standard category,0.2532258064516128,0.24556451612903227
party_supplies,4485.18,39,4.0,0.0,8.64864864864865,0.0483870967741935,0.1774193548387097,0.0161290322580645,Low-value quality drag,0.232258064516129,0.23467741935483868
costruction_tools_tools,15903.95,97,4.425531914893617,0.0618556701030927,11.762886597938143,0.2096774193548387,0.9838709677419356,0.5,Standard category,0.2483870967741935,0.23064516129032256
cine_photo,6933.46,65,4.230769230769231,0.0615384615384615,10.031746031746032,0.1129032258064516,0.8225806451612904,0.4838709677419355,Standard category,0.2403225806451613,0.2217741935483871
music,6034.35,38,4.297297297297297,0.054054054054054,11.054054054054054,0.0967741935483871,0.9032258064516128,0.3709677419354839,Standard category,0.1790322580645161,0.15806451612903227
food_drink,15179.48,227,4.38,0.0353982300884955,10.436363636363636,0.1935483870967742,0.9516129032258064,0.0483870967741935,Standard category,0.1137096774193548,0.13709677419354838
books_imported,4639.85,53,4.320754716981132,0.0377358490566037,7.72,0.064516129032258,0.9193548387096774,0.064516129032258,Standard category,0.0685483870967742,0.07016129032258064
